voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7368367,111,127,129,775,20,0.0,0,1.1096771,0.5762802628321915,0.16925821822297366,-0.1239182618849489,1.0
7368368,112,127,129,776,20,0.0,0,1.1781667,0.6080975700374448,0.14284660651369196,-0.1816154779684063,1.0
7368369,113,127,129,777,20,0.0,1,0.5570273,0.3946437152024683,0.13507704730065712,-0.15942171034650418,1.0
7368370,114,127,129,778,20,0.0,0,1.020426,0.5404263849173384,0.09193719126517255,-0.11083472371693949,1.0
7368371,115,127,129,779,20,0.0,0,1.2100853,0.5174641108089035,0.1526374627648214,0.0022062174569935766,1.0
7368372,116,127,129,780,20,0.0,0,0.99353874,0.5756178431507137,0.22351737166483707,0.09737777337773532,1.0
7368373,117,127,129,781,20,0.0,0,1.0382744,0.341690929330474,0.6173278657689739,0.19116365164234306,1.0
7368589,109,128,129,784,20,0.0,2,0.29365587,-0.02356763508212003,0.13668803589025288,0.5014227628562303,1.0
7368590,110,128,129,785,20,0.0,0,0.63225985,0.24265968749664163,0.10784533718975142,0.17414061352802696,1.0
7368591,111,128,129,786,20,0.0,0,1.0530759,0.4288232988521299,0.20344521303449006,-0.16796369822667012,1.0
7368592,112,128,129,787,20,0.0,0,1.0216708,0.5359645012686933,0.19045201479847193,-0.3338455408442711,1.0
7368593,113,128,129,788,20,0.0,0,0.665571,0.4188063675655217,0.10806716789765722,-0.2546472400346421,1.0
7368594,114,128,129,789,20,0.0,0,0.91300946,0.5541036084479949,0.05878681855946312,-0.2630608081456508,1.0
7368595,115,128,129,790,20,0.0,0,1.0119376,0.4723621735240577,0.10993223303325322,-0.11443114280543404,1.0
7368596,116,128,129,791,20,0.0,0,0.8521707,0.48257651288716336,0.2197601624419125,0.020711017304937827,1.0
7368597,117,128,129,792,20,0.0,0,1.0000407,0.3368488250724913,0.5890038955990946,0.11414984790847893,1.0
7368811,107,129,129,793,20,0.0,3,0.54600084,0.2264512284837227,0.005370859657035468,0.6049664899467053,1.0
7368814,110,129,129,796,20,0.0,0,0.6479507,0.22123669379403715,0.08662834922923798,0.042000968063671956,1.0
7368815,111,129,129,797,20,0.0,0,0.9877717,0.4616443800123309,0.09950599362644187,-0.17917907631314234,1.0
7368816,112,129,129,798,20,0.0,0,0.90059066,0.4984484722708401,0.14996848291718087,-0.3540337386658398,1.0
7368817,113,129,129,799,20,0.0,0,0.6516179,0.3714145471131431,0.09856929392505093,-0.35966202624854876,1.0
7368818,114,129,129,800,20,0.0,0,0.8189892,0.48731019459368646,0.12348574199851667,-0.3324874638127883,1.0
7368819,115,129,129,801,20,0.0,0,1.1240821,0.5579756750306122,0.09607572284478566,-0.2529099285567768,1.0
7368820,116,129,129,802,20,0.0,0,1.1369995,0.5644734221240362,0.19204252612325493,-0.08877851432453734,1.0
7368821,117,129,129,803,20,0.0,0,1.2262608,0.4896295239572492,0.45946067182336486,0.0035411162326278492,1.0
7369035,107,130,129,804,20,0.0,3,0.5838827,0.11027662844719467,0.006982480911154361,0.7529072354721097,1.0
7369038,110,130,129,807,20,0.0,0,0.60342956,0.19605610175349586,0.08644072655155167,0.0842626094804953,1.0
7369039,111,130,129,808,20,0.0,0,1.0417938,0.40029104057311127,0.15667726034658028,-0.20269643444308116,1.0
7369040,112,130,129,809,20,0.0,0,0.9282722,0.4499685742631505,0.20661798552410152,-0.3699057251226604,1.0
7369041,113,130,129,810,20,0.0,0,0.62400645,0.3235268945446556,0.20561521318073583,-0.3305152219708424,1.0
7369042,114,130,129,811,20,0.0,0,0.69103956,0.3328752966427315,0.2745473232467403,-0.32002729177515565,1.0
7369043,115,130,129,812,20,0.0,0,0.9324017,0.5142000510055174,0.13974463056362782,-0.2664524616772482,1.0
7369044,116,130,129,813,20,0.0,0,1.137897,0.5810491328685108,0.30878021614161705,-0.09616292640932232,1.0
7369045,117,130,129,814,20,0.0,0,1.0429225,0.6009531269084328,0.4564411740975554,-0.03156197725418784,1.0
7369259,107,131,129,815,20,0.0,3,0.62465894,0.1390222580393307,0.012439022190288527,0.7961915790782602,1.0
7369260,108,131,129,816,20,0.0,2,0.5776099,-0.04159953599637326,0.2558896740024907,0.6583803295898896,1.0
7369262,110,131,129,818,20,0.0,2,0.3773994,0.006407369836953557,0.16597112458962493,0.267602212726875,1.0
7369263,111,131,129,819,20,0.0,0,0.8410665,0.24709402604770914,0.23638756897791532,-0.15895318988935714,1.0
7369264,112,131,129,820,20,0.0,0,0.7154239,0.23820782422913292,0.3204818075923627,-0.4002573937169672,1.0
7369265,113,131,129,821,20,0.0,0,0.93434995,0.2436779843495812,0.3483691003334134,-0.32517986000293464,1.0
7369266,114,131,129,822,20,0.0,0,0.94838965,0.2951658344888145,0.36386274311359956,-0.2883470652025451,1.0
7369267,115,131,129,823,20,0.0,0,1.0289878,0.5496700439920384,0.19026570931393183,-0.2748754322801962,1.0
7369268,116,131,129,824,20,0.0,0,1.0501999,0.6713398035762189,0.21276886536848075,-0.13353290407700136,1.0
7369269,117,131,129,825,20,0.0,1,0.92394876,0.5072292967409624,0.4267003691722791,-0.026223945108970526,1.0
7369483,107,132,129,826,20,0.0,0,0.76720095,0.4064638885797487,0.20795949366919886,0.48571349682095355,1.0
7369484,108,132,129,827,20,0.0,0,0.7120169,0.2950990324058928,0.20261075094137773,0.44673413024704434,1.0
7369485,109,132,129,828,20,0.0,2,0.56271386,0.08902078838205811,0.0934006950004775,0.5225513726450642,1.0
7369486,110,132,129,829,20,0.0,0,0.5162254,0.1861656545669738,0.10723194949890223,0.12037101398038981,1.0
7369487,111,132,129,830,20,0.0,0,0.85820115,0.09520830657277578,0.3248346508287283,-0.15050742775366793,1.0
7369488,112,132,129,831,20,0.0,0,0.9395699,0.07548200974215916,0.46793073635682725,-0.2705051004884037,1.0
7369489,113,132,129,832,20,0.0,0,0.86385024,0.0904113019434399,0.4671700368468547,-0.2578562945127591,1.0
7369490,114,132,129,833,20,0.0,1,0.7128255,0.386864203967798,0.04723380336791527,-0.47430401861001725,1.0
7369491,115,132,129,834,20,0.0,0,1.2582434,0.5507125232710722,0.20530221384730454,-0.31484136728279444,1.0
7369492,116,132,129,835,20,0.0,0,0.9200089,0.5640165376106229,0.25245865832389563,-0.0874545369314423,1.0
7369493,117,132,129,836,20,0.0,1,1.0460217,0.5196335162838273,0.4463525286684945,-0.05365788238241276,1.0
7369707,107,133,129,837,20,0.0,0,0.8114198,0.43265903741674144,0.23382104898443543,0.4599106310270394,1.0
7369708,108,133,129,838,20,0.0,0,0.7442655,0.4150569099276952,0.12205254368604743,0.3926200717187585,1.0
7369709,109,133,129,839,20,0.0,0,0.7822875,0.42179402045067693,0.08137588040273674,0.28351899237078804,1.0
7369710,110,133,129,840,20,0.0,0,0.9187961,0.3512206425284187,0.12724239131749948,0.0257520806270971,1.0
7369711,111,133,129,841,20,0.0,0,0.9979629,0.17750492062738324,0.42797717220215836,-0.1686115711947166,1.0
7369712,112,133,129,842,20,0.0,0,0.7682376,0.02982980369376902,0.5754875171543755,-0.3369605690257821,1.0
7369713,113,133,129,843,20,0.0,1,0.63126147,0.18156682182257272,0.16104251610780887,-0.49942784983969507,1.0
7369714,114,133,129,844,20,0.0,1,0.74667984,0.26466965420371713,0.16281932586601636,-0.43059432577448015,1.0
7369715,115,133,129,845,20,0.0,0,0.9992052,0.47358101602790353,0.22438105948010648,-0.2981580197812702,1.0
7369716,116,133,129,846,20,0.0,1,0.87461543,0.5905279936143149,0.21032648807304913,-0.12596393412021273,1.0
7369717,117,133,129,847,20,0.0,2,0.83517057,0.26621663316353056,0.45219791443584956,0.10073695424956704,1.0
7424811,107,123,130,848,20,0.0,0,0.6328538,0.3545311199246892,0.06987128523643693,0.5972540378569229,1.0
7424813,109,123,130,850,20,0.0,2,0.5495285,0.10494120098233188,0.049859462990008464,0.6083004177190448,1.0
7424814,110,123,130,851,20,0.0,3,0.36895347,0.12798174764564207,0.012061663728450698,0.4946367102930278,1.0
7424815,111,123,130,852,20,0.0,2,0.707438,0.46589441673472,0.04975000357539248,0.10293935908571392,1.0
7424816,112,123,130,853,20,0.0,1,0.93240064,0.44617324179666157,0.08322864212734755,-0.25435606606964356,1.0
